Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,25.070000,26.340000,24.730000,26.240000,26.240000,1135800
2014-11-03,26.320000,27.219999,26.000000,26.990000,26.990000,1486200
2014-11-10,27.090000,27.830000,26.600000,27.080000,27.080000,925000
2014-11-17,27.090000,27.750000,26.700001,27.490000,27.490000,973900
2014-11-24,27.600000,27.600000,26.620001,27.480000,27.480000,986900
2014-12-01,27.430000,29.500000,27.030001,28.980000,28.980000,1150900
2014-12-08,29.030001,29.230000,27.510000,28.580000,28.580000,1150900
2014-12-15,28.700001,28.920000,27.760000,28.799999,28.799999,1338800
2014-12-22,28.900000,29.150000,28.209999,29.150000,29.150000,308200
2014-12-29,29.100000,29.900000,29.020000,29.730000,29.730000,622500
2015-01-05,29.510000,29.790001,28.090000,29.309999,29.309999,950100
2015-01-12,29.120001,29.400000,26.799999,26.920000,26.920000,1390800
2015-01-19,26.610001,28.760000,25.350000,28.440001,28.440001,1895100
2015-01-26,28.520000,31.879999,28.400000,31.750000,31.750000,1348600
2015-02-02,31.670000,31.799999,28.549999,30.120001,30.120001,3174500
2015-02-09,29.010000,31.930000,29.000000,31.830000,31.830000,2527700
2015-02-16,31.430000,31.639999,29.139999,30.100000,30.100000,1260900
2015-02-23,29.990000,30.940001,28.240000,28.700001,28.700001,2342600
2015-03-02,28.719999,28.850000,26.700001,26.879999,26.879999,2750600
2015-03-09,26.650000,26.740000,24.930000,25.309999,25.309999,2411800
2015-03-16,25.309999,26.090000,24.580000,25.209999,25.209999,1642400
2015-03-23,25.250000,27.180000,24.750000,26.950001,26.950001,2631400
2015-03-30,27.090000,27.090000,24.570000,24.670000,24.670000,1776400
2015-04-06,24.680000,24.680000,23.809999,24.280001,24.280001,1710200
2015-04-13,24.629999,26.000000,23.680000,24.110001,24.110001,2190900
2015-04-20,24.139999,24.490000,23.100000,24.299999,24.299999,1990800
2015-04-27,24.280001,24.450001,23.389999,24.110001,24.110001,2045500
2015-05-04,24.150000,24.150000,23.129999,23.780001,23.780001,1610200
2015-05-11,23.850000,24.030001,22.799999,23.750000,23.750000,1044700
2015-05-18,23.750000,26.219999,23.750000,26.110001,26.110001,1630100
2015-05-25,26.430000,26.580000,25.559999,25.670000,25.670000,1103800
2015-06-01,25.660000,26.490000,25.590000,26.400000,26.400000,1113500
2015-06-08,26.350000,27.059999,25.370001,26.250000,26.250000,1590200
2015-06-15,26.090000,27.180000,25.660000,26.190001,26.190001,1412500
2015-06-22,26.260000,27.950001,26.010000,27.730000,27.730000,1206100
2015-06-29,27.610001,28.139999,26.889999,27.910000,27.910000,853100
2015-07-06,27.690001,28.059999,25.799999,27.150000,27.150000,1467300
2015-07-13,27.430000,28.520000,27.280001,28.219999,28.219999,2021400
2015-07-20,28.340000,28.570000,24.889999,24.950001,24.950001,1557900
2015-07-27,24.500000,24.530001,22.940001,23.790001,23.790001,1702000
2015-08-03,23.900000,24.580000,22.980000,23.100000,23.100000,1056600
2015-08-10,23.129999,23.549999,21.200001,21.570000,21.570000,1661500
2015-08-17,21.490000,22.410000,20.190001,20.320000,20.320000,1721300
2015-08-24,19.010000,20.900000,19.000000,20.360001,20.360001,2073000
2015-08-31,20.170000,20.350000,18.740000,19.600000,19.600000,1579800
2015-09-07,19.930000,19.930000,18.480000,19.160000,19.160000,910600
2015-09-14,18.969999,19.200001,17.830000,18.040001,18.040001,1662000
2015-09-21,18.000000,18.200001,16.850000,17.450001,17.450001,875500
2015-09-28,17.389999,17.389999,15.330000,15.730000,15.730000,2126100
2015-10-05,16.100000,19.180000,15.850000,19.090000,19.090000,1800000
